"","Amount","Duration","ID","Year","DateTime","雨强.mm.h.","model1$cluster","model2$cluster","model3$cluster"
"1",0.01,27,197,2016,"2016/8/8 12:51",0.02,4,1,3
"2",0.02,15,134,2016,"2016/7/7 4:51",0.08,1,1,1
"3",0.02,44,139,2016,"2016/7/7 7:10",0.03,3,1,3
"4",0.02,63,141,2016,"2016/7/7 8:38",0.02,3,1,4
"5",0.02,7,18,2016,"2016/5/5 8:59",0.17,1,1,1
"6",0.04,24,15,2016,"2016/5/5 8:14",0.1,4,1,3
"7",0.06,60,72,2016,"2016/5/5 8:0",0.06,3,1,3
"8",0.07,19,196,2016,"2016/8/8 12:24",0.22,4,1,1
"9",0.07,64,190,2016,"2016/8/8 10:36",0.07,3,1,4
"10",0.07,9,88,2016,"2016/7/7 6:13",0.47,1,1,1
"11",0.09,21,48,2016,"2016/5/5 23:25",0.26,4,1,1
"12",0.09,35,156,2016,"2016/8/8 1:0",0.15,4,1,3
"13",0.09,52,188,2016,"2016/8/8 8:33",0.1,3,1,3
"14",0.09,56,191,2016,"2016/8/8 11:32",0.1,3,1,3
"15",0.09,59,10,2016,"2016/5/5 2:44",0.09,3,1,3
"16",0.1,1,48,2017,"2017/5/3 21:38",6,1,1,1
"17",0.1,1,48,2017,"2017/5/3 21:38",6,1,1,1
"18",0.1,1,333,2017,"2017/8/20 1:18",6,1,1,1
"19",0.1,1,333,2017,"2017/8/20 1:18",6,1,1,1
"20",0.1,10,122,2017,"2017/5/23 11:10",0.6,1,1,1
"21",0.1,10,122,2017,"2017/5/23 11:10",0.6,1,1,1
"22",0.1,10,197,2017,"2017/6/22 16:6",0.6,1,1,1
"23",0.1,10,197,2017,"2017/6/22 16:6",0.6,1,1,1
"24",0.1,11,120,2017,"2017/5/23 10:43",0.55,1,1,1
"25",0.1,11,120,2017,"2017/5/23 10:43",0.55,1,1,1
"26",0.1,11,120,2017,"2017/5/23 10:43",0.55,1,1,1
"27",0.1,11,120,2017,"2017/5/23 10:43",0.55,1,1,1
"28",0.1,11,60,2017,"2017/5/4 1:24",0.55,1,1,1
"29",0.1,11,60,2017,"2017/5/4 1:24",0.55,1,1,1
"30",0.1,11,60,2017,"2017/5/4 1:24",0.55,1,1,1
"31",0.1,11,60,2017,"2017/5/4 1:24",0.55,1,1,1
"32",0.1,11,367,2017,"2017/8/20 13:4",0.55,1,1,1
"33",0.1,11,367,2017,"2017/8/20 13:4",0.55,1,1,1
"34",0.1,11,367,2017,"2017/8/20 13:4",0.55,1,1,1
"35",0.1,11,367,2017,"2017/8/20 13:4",0.55,1,1,1
"36",0.1,11,100,2014,"2014/9/30 19:16",0.7,1,1,1
"37",0.1,11,100,2014,"2014/9/30 19:16",0.7,1,1,1
"38",0.1,11,100,2014,"2014/9/30 19:16",0.7,1,1,1
"39",0.1,11,100,2014,"2014/9/30 19:16",0.7,1,1,1
"40",0.1,116,429,2017,"2017/8/28 2:41",0.05,2,2,4
"41",0.1,12,11,2017,"2017/5/3 13:33",0.5,1,1,1
"42",0.1,12,11,2017,"2017/5/3 13:33",0.5,1,1,1
"43",0.1,12,185,2017,"2017/6/4 19:31",0.5,1,1,1
"44",0.1,12,185,2017,"2017/6/4 19:31",0.5,1,1,1
"45",0.1,123,15,2017,"2017/5/3 16:39",0.05,2,2,2
"46",0.1,123,15,2017,"2017/5/3 16:39",0.05,2,2,2
"47",0.1,123,67,2017,"2017/5/23 0:13",0.05,2,2,2
"48",0.1,123,67,2017,"2017/5/23 0:13",0.05,2,2,2
"49",0.1,13,386,2017,"2017/8/23 1:5",0.46,1,1,1
"50",0.1,13,386,2017,"2017/8/23 1:5",0.46,1,1,1
"51",0.1,13,206,2017,"2017/7/27 20:29",0.46,1,1,1
"52",0.1,13,206,2017,"2017/7/27 20:29",0.46,1,1,1
"53",0.1,14,75,2017,"2017/5/23 3:49",0.43,1,1,1
"54",0.1,15,88,2017,"2017/5/23 5:59",0.4,1,1,1
"55",0.1,15,88,2017,"2017/5/23 5:59",0.4,1,1,1
"56",0.1,15,88,2017,"2017/5/23 5:59",0.4,1,1,1
"57",0.1,15,62,2017,"2017/5/4 2:2",0.4,1,1,1
"58",0.1,15,62,2017,"2017/5/4 2:2",0.4,1,1,1
"59",0.1,15,62,2017,"2017/5/4 2:2",0.4,1,1,1
"60",0.1,15,331,2017,"2017/8/20 1:5",0.4,1,1,1
"61",0.1,15,331,2017,"2017/8/20 1:5",0.4,1,1,1
"62",0.1,15,331,2017,"2017/8/20 1:5",0.4,1,1,1
"63",0.1,16,323,2017,"2017/8/19 21:0",0.38,1,1,1
"64",0.1,16,323,2017,"2017/8/19 21:0",0.38,1,1,1
"65",0.1,16,323,2017,"2017/8/19 21:0",0.38,1,1,1
"66",0.1,16,353,2017,"2017/8/20 10:8",0.38,1,1,1
"67",0.1,16,353,2017,"2017/8/20 10:8",0.38,1,1,1
"68",0.1,16,353,2017,"2017/8/20 10:8",0.38,1,1,1
"69",0.1,16,461,2017,"2017/8/28 9:38",0.38,1,1,1
"70",0.1,16,461,2017,"2017/8/28 9:38",0.38,1,1,1
"71",0.1,16,461,2017,"2017/8/28 9:38",0.38,1,1,1
"72",0.1,161,212,2017,"2017/7/27 23:36",0.04,2,3,2
"73",0.1,17,134,2017,"2017/5/23 13:23",0.35,1,1,1
"74",0.1,17,134,2017,"2017/5/23 13:23",0.35,1,1,1
"75",0.1,17,13,2017,"2017/5/3 14:10",0.35,1,1,1
"76",0.1,17,13,2017,"2017/5/3 14:10",0.35,1,1,1
"77",0.1,18,69,2017,"2017/5/23 0:57",0.33,4,1,1
"78",0.1,19,468,2017,"2017/8/28 19:43",0.32,4,1,1
"79",0.1,19,468,2017,"2017/8/28 19:43",0.32,4,1,1
"80",0.1,19,10,2017,"2017/5/3 13:21",0.32,4,1,1
"81",0.1,19,10,2017,"2017/5/3 13:21",0.32,4,1,1
"82",0.1,2,247,2017,"2017/7/28 12:9",3,1,1,1
