Plot Title: 16#,,,,,,
#,"Date Time, GMT+08:00","Water Content, m?/m? (20)","Water Content, m?/m? (40)","Water Content, m?/m? (60)","Water Content, m?/m? (80)","Water Content, m?/m? (100)"
1,04/20/13 15时44分10秒,0.1012,0.1056,0.115,1.1493,0.0758
2,04/20/13 15时54分10秒,0.1012,0.1056,0.1158,1.1631,0.0766
3,04/20/13 16时04分10秒,0.1012,0.1056,0.1158,1.1624,0.0766
4,04/20/13 16时14分10秒,0.1012,0.1056,0.115,1.1646,0.0766
5,04/20/13 16时24分10秒,0.1012,0.1056,0.1158,1.1653,0.0766
6,04/20/13 16时34分10秒,0.1012,0.1056,0.115,1.1697,0.0758
7,04/20/13 16时44分10秒,0.1012,0.1056,0.1158,1.1646,0.0758
8,04/20/13 16时54分10秒,0.1012,0.1056,0.115,1.1631,0.0758
9,04/20/13 17时04分10秒,0.1012,0.1063,0.115,1.1624,0.0751
10,04/20/13 17时14分10秒,0.1012,0.1056,0.115,1.1602,0.0758
11,04/20/13 17时24分10秒,0.1012,0.1056,0.115,1.1551,0.0758
12,04/20/13 17时34分10秒,0.1012,0.1056,0.1143,1.1493,0.0766
13,04/20/13 17时44分10秒,0.1012,0.1056,0.115,1.1413,0.0758
14,04/20/13 17时54分10秒,0.1012,0.1056,0.115,1.1392,0.0758
15,04/20/13 18时04分10秒,0.1012,0.1056,0.115,1.1384,0.0766
16,04/20/13 18时14分10秒,0.102,0.1056,0.115,1.1442,0.0758
17,04/20/13 18时24分10秒,0.1012,0.1056,0.115,1.1392,0.0758
18,04/20/13 18时34分10秒,0.1012,0.1056,0.115,1.1297,0.0758
19,04/20/13 18时44分10秒,0.102,0.1056,0.115,1.1326,0.0758
20,04/20/13 18时54分10秒,0.102,0.1056,0.115,1.1195,0.0758
21,04/20/13 19时04分10秒,0.102,0.1056,0.115,1.1101,0.0758
22,04/20/13 19时14分10秒,0.102,0.1056,0.115,1.1123,0.0758
23,04/20/13 19时24分10秒,0.102,0.1056,0.115,1.0999,0.0751
24,04/20/13 19时34分10秒,0.102,0.1049,0.115,1.0949,0.0751
25,04/20/13 19时44分10秒,0.102,0.1056,0.115,1.0927,0.0758
26,04/20/13 19时54分10秒,0.102,0.1049,0.115,1.0949,0.0758
27,04/20/13 20时04分10秒,0.102,0.1056,0.115,1.0919,0.0758
28,04/20/13 20时14分10秒,0.102,0.1056,0.115,1.0825,0.0758
29,04/20/13 20时24分10秒,0.102,0.1056,0.115,1.0723,0.0751
30,04/20/13 20时34分10秒,0.102,0.1056,0.115,1.0752,0.0751
31,04/20/13 20时44分10秒,0.1027,0.1056,0.115,1.0832,0.0751
32,04/20/13 20时54分10秒,0.1027,0.1049,0.115,1.0811,0.0751
33,04/20/13 21时04分10秒,0.1027,0.1049,0.115,1.068,0.0758
34,04/20/13 21时14分10秒,0.1027,0.1049,0.1143,1.0745,0.0751
35,04/20/13 21时24分10秒,0.1027,0.1056,0.115,1.0643,0.0751
36,04/20/13 21时34分10秒,0.1027,0.1049,0.115,1.0665,0.0751
37,04/20/13 21时44分10秒,0.1027,0.1056,0.115,1.0796,0.0758
38,04/20/13 21时54分10秒,0.1027,0.1049,0.115,1.0687,0.0758
39,04/20/13 22时04分10秒,0.1027,0.1049,0.115,1.0723,0.0758
40,04/20/13 22时14分10秒,0.1027,0.1056,0.115,1.0854,0.0751
41,04/20/13 22时24分10秒,0.1027,0.1049,0.115,1.0861,0.0758
42,04/20/13 22时34分10秒,0.102,0.1049,0.115,1.0738,0.0751
43,04/20/13 22时44分10秒,0.102,0.1049,0.1158,1.0731,0.0751
44,04/20/13 22时54分10秒,0.102,0.1056,0.115,1.0658,0.0751
45,04/20/13 23时04分10秒,0.102,0.1056,0.1158,1.0643,0.0758
46,04/20/13 23时14分10秒,0.1027,0.1056,0.115,1.068,0.0751
47,04/20/13 23时24分10秒,0.1027,0.1056,0.115,1.0702,0.0758
48,04/20/13 23时34分10秒,0.1027,0.1056,0.115,1.0738,0.0751
49,04/20/13 23时44分10秒,0.1027,0.1056,0.1143,1.0803,0.0758
50,04/20/13 23时54分10秒,0.1027,0.1056,0.115,1.076,0.0751
51,04/21/13 00时04分10秒,0.1027,0.1056,0.115,1.0949,0.0751
52,04/21/13 00时14分10秒,0.1027,0.1056,0.115,1.0941,0.0744
53,04/21/13 00时24分10秒,0.1027,0.1056,0.1143,1.097,0.0758
54,04/21/13 00时34分10秒,0.102,0.1056,0.115,1.0956,0.0758
55,04/21/13 00时44分10秒,0.102,0.1056,0.115,1.0956,0.0758
56,04/21/13 00时54分10秒,0.102,0.1056,0.115,1.0912,0.0751
57,04/21/13 01时04分10秒,0.102,0.1056,0.115,1.1028,0.0751
58,04/21/13 01时14分10秒,0.102,0.1056,0.1143,1.0934,0.0751
59,04/21/13 01时24分10秒,0.102,0.1056,0.115,1.0956,0.0744
60,04/21/13 01时34分10秒,0.102,0.1056,0.115,1.084,0.0751
61,04/21/13 01时44分10秒,0.102,0.1056,0.115,1.0636,0.0751
62,04/21/13 01时54分10秒,0.102,0.1056,0.115,1.0789,0.0751
63,04/21/13 02时04分10秒,0.102,0.1056,0.115,1.0956,0.0751
64,04/21/13 02时14分10秒,0.102,0.1056,0.1143,1.0854,0.0751
65,04/21/13 02时24分10秒,0.102,0.1056,0.115,1.1028,0.0751
66,04/21/13 02时34分10秒,0.102,0.1056,0.115,1.0796,0.0751
67,04/21/13 02时44分10秒,0.102,0.1056,0.115,1.0237,0.0751
68,04/21/13 02时54分10秒,0.102,0.1056,0.115,1.036,0.0751
69,04/21/13 03时04分10秒,0.102,0.1056,0.115,1.0324,0.0751
70,04/21/13 03时14分10秒,0.102,0.1063,0.1143,1.0426,0.0751
71,04/21/13 03时24分10秒,0.102,0.1056,0.1143,1.0324,0.0758
72,04/21/13 03时34分10秒,0.102,0.1063,0.1143,1.0331,0.0751
73,04/21/13 03时44分10秒,0.102,0.1056,0.1143,1.0353,0.0751
74,04/21/13 03时54分10秒,0.102,0.1063,0.115,1.0433,0.0751
75,04/21/13 04时04分10秒,0.102,0.1063,0.1143,1.044,0.0751
76,04/21/13 04时14分10秒,0.102,0.1063,0.115,1.0397,0.0758
77,04/21/13 04时24分10秒,0.102,0.1056,0.1143,1.0447,0.0751
78,04/21/13 04时34分10秒,0.102,0.1063,0.1143,1.0716,0.0751
79,04/21/13 04时44分10秒,0.1012,0.1063,0.115,1.084,0.0751
80,04/21/13 04时54分10秒,0.102,0.1056,0.1143,1.0774,0.0758
81,04/21/13 05时04分10秒,0.1012,0.1063,0.115,1.0941,0.0751
82,04/21/13 05时14分10秒,0.1012,0.1063,0.1143,1.1413,0.0751
83,04/21/13 05时24分10秒,0.102,0.1056,0.1143,1.1355,0.0751
84,04/21/13 05时34分10秒,0.1012,0.1063,0.1143,1.1275,0.0751
85,04/21/13 05时44分10秒,0.1012,0.1063,0.1143,1.1333,0.0751
86,04/21/13 05时54分10秒,0.1012,0.1056,0.1143,1.1261,0.0751
87,04/21/13 06时04分10秒,0.1012,0.1063,0.1143,1.1174,0.0751
88,04/21/13 06时14分10秒,0.1012,0.1063,0.1143,1.105,0.0751
89,04/21/13 06时24分10秒,0.1012,0.1056,0.1143,1.0498,0.0751
90,04/21/13 06时34分10秒,0.1012,0.1056,0.1143,1.0426,0.0751
91,04/21/13 06时44分10秒,0.1012,0.1063,0.1143,1.0614,0.0751
92,04/21/13 06时54分10秒,0.1012,0.1063,0.1143,1.1406,0.0751
93,04/21/13 07时04分10秒,0.1012,0.1056,0.115,1.1755,0.0751
94,04/21/13 07时14分10秒,0.1012,0.1056,0.1143,1.1718,0.0751
95,04/21/13 07时24分10秒,0.1012,0.1056,0.1143,1.1471,0.0751
96,04/21/13 07时34分10秒,0.1012,0.1056,0.115,1.1384,0.0751
97,04/21/13 07时44分10秒,0.1012,0.1056,0.1143,1.1239,0.0751
98,04/21/13 07时54分10秒,0.1012,0.1063,0.1143,1.0825,0.0751
99,04/21/13 08时04分10秒,0.1012,0.1056,0.1143,1.0673,0.0751
100,04/21/13 08时14分10秒,0.1012,0.1063,0.1143,1.0622,0.0758
101,04/21/13 08时24分10秒,0.1012,0.1063,0.1143,1.0673,0.0758
102,04/21/13 08时34分10秒,0.1012,0.1056,0.1143,1.0694,0.0751
103,04/21/13 08时44分10秒,0.1012,0.1056,0.115,1.1072,0.0751
104,04/21/13 08时54分10秒,0.1012,0.1056,0.115,1.1239,0.0751
105,04/21/13 09时04分10秒,0.1005,0.1056,0.115,1.121,0.0751
106,04/21/13 09时14分10秒,0.1005,0.1056,0.1143,1.0883,0.0751
107,04/21/13 09时24分10秒,0.1005,0.1056,0.115,1.097,0.0751
108,04/21/13 09时34分10秒,0.1012,0.1056,0.115,1.1232,0.0751
109,04/21/13 09时44分10秒,0.1005,0.1063,0.1143,1.1254,0.0758
110,04/21/13 09时54分10秒,0.1012,0.1063,0.1143,1.1413,0.0758
111,04/21/13 10时04分10秒,0.1012,0.1063,0.1143,1.1551,0.0751
112,04/21/13 10时14分10秒,0.1005,0.1056,0.1143,1.2016,0.0751
113,04/21/13 10时24分10秒,0.1005,0.1056,0.1143,1.206,0.0751
114,04/21/13 10时34分10秒,0.1005,0.1056,0.115,1.2053,0.0751
115,04/21/13 10时44分10秒,0.1005,0.1056,0.1143,1.2074,0.0766
116,04/21/13 10时54分10秒,0.1005,0.1056,0.1143,1.2176,0.0766
117,04/21/13 11时04分10秒,0.1005,0.1056,0.115,1.2111,0.0758
118,04/21/13 11时14分10秒,0.1005,0.1056,0.115,1.2067,0.0758
119,04/21/13 11时24分10秒,0.1005,0.1049,0.115,1.2067,0.0751
120,04/21/13 11时34分10秒,0.1005,0.1056,0.1143,1.2568,0.0758
121,04/21/13 11时44分10秒,0.1005,0.1056,0.1143,1.2481,0.0758
122,04/21/13 11时54分10秒,0.1005,0.1056,0.1143,1.2517,0.0758
123,04/21/13 12时04分10秒,0.1005,0.1056,0.115,1.2488,0.0766
124,04/21/13 12时14分10秒,0.1005,0.1056,0.115,1.2401,0.0766
125,04/21/13 12时24分10秒,0.1005,0.1056,0.115,1.2358,0.0766
126,04/21/13 12时34分10秒,0.1005,0.1056,0.1143,1.2619,0.0766
127,04/21/13 12时44分10秒,0.1005,0.1056,0.1143,1.2772,0.0751
128,04/21/13 12时54分10秒,0.1005,0.1049,0.115,1.2735,0.0766
129,04/21/13 13时04分10秒,0.1005,0.1049,0.115,1.2568,0.0751
130,04/21/13 13时14分10秒,0.1005,0.1056,0.115,1.2554,0.0758
131,04/21/13 13时24分10秒,0.1005,0.1049,0.115,1.2299,0.0751
132,04/21/13 13时34分10秒,0.1005,0.1049,0.115,1.2256,0.0758
133,04/21/13 13时44分10秒,0.1005,0.1056,0.115,1.2285,0.0758
134,04/21/13 13时54分10秒,0.1005,0.1049,0.115,1.2118,0.0758
135,04/21/13 14时04分10秒,0.1005,0.1049,0.115,1.2786,0.0766
136,04/21/13 14时14分10秒,0.1005,0.1049,0.115,1.267,0.0758
137,04/21/13 14时24分10秒,0.1005,0.1049,0.115,1.3004,0.0758
138,04/21/13 14时34分10秒,0.1005,0.1049,0.115,1.2946,0.0766
139,04/21/13 14时44分10秒,0.1005,0.1049,0.115,1.2939,0.0766
140,04/21/13 14时54分10秒,0.1005,0.1049,0.115,1.2931,0.0766
141,04/21/13 15时04分10秒,0.1005,0.1049,0.115,1.2815,0.0766
142,04/21/13 15时14分10秒,0.1005,0.1056,0.1143,1.2779,0.0758
143,04/21/13 15时24分10秒,0.1005,0.1049,0.115,1.3019,0.0766
144,04/21/13 15时34分10秒,0.1005,0.1049,0.115,1.3178,0.0766
145,04/21/13 15时44分10秒,0.1005,0.1049,0.115,1.336,0.0758
146,04/21/13 15时54分10秒,0.1005,0.1056,0.1143,1.3251,0.0766
147,04/21/13 16时04分10秒,0.1005,0.1056,0.115,1.2793,0.0758
148,04/21/13 16时14分10秒,0.1005,0.1049,0.115,1.2735,0.0766
149,04/21/13 16时24分10秒,0.1005,0.1056,0.1143,1.2517,0.0758
150,04/21/13 16时34分10秒,0.1005,0.1049,0.1143,1.2488,0.0751
151,04/21/13 16时44分10秒,0.1005,0.1056,0.115,1.2394,0.0758
152,04/21/13 16时54分10秒,0.1005,0.1049,0.1143,1.2292,0.0766
153,04/21/13 17时04分10秒,0.1005,0.1049,0.1143,1.2285,0.0758
154,04/21/13 17时14分10秒,0.1005,0.1049,0.1143,1.227,0.0758
155,04/21/13 17时24分10秒,0.1012,0.1049,0.1143,1.2379,0.0758
156,04/21/13 17时34分10秒,0.1012,0.1049,0.1143,1.2546,0.0758
157,04/21/13 17时44分10秒,0.1012,0.1049,0.1143,1.2772,0.0766
158,04/21/13 17时54分10秒,0.1012,0.1049,0.1143,1.2648,0.078
159,04/21/13 18时04分10秒,0.1012,0.1049,0.115,1.2772,0.0751
160,04/21/13 18时14分10秒,0.1012,0.1049,0.1143,1.275,0.0751
161,04/21/13 18时24分10秒,0.1012,0.1049,0.115,1.2467,0.0758
162,04/21/13 18时34分10秒,0.1012,0.1049,0.1143,1.2764,0.0758
163,04/21/13 18时44分10秒,0.1012,0.1049,0.1143,1.2735,0.0758
164,04/21/13 18时54分10秒,0.1012,0.1049,0.1143,1.267,0.0751
165,04/21/13 19时04分10秒,0.1012,0.1049,0.115,1.2655,0.0758
166,04/21/13 19时14分10秒,0.1012,0.1049,0.1143,1.2619,0.0751
167,04/21/13 19时24分10秒,0.1012,0.1049,0.1136,1.2735,0.0751
168,04/21/13 19时34分10秒,0.102,0.1049,0.1136,1.2728,0.0758
169,04/21/13 19时44分10秒,0.102,0.1042,0.1143,1.2583,0.0758
170,04/21/13 19时54分10秒,0.102,0.1049,0.1143,1.2561,0.0751
171,04/21/13 20时04分10秒,0.102,0.1049,0.1143,1.2503,0.0751
172,04/21/13 20时14分10秒,0.102,0.1049,0.1143,1.2408,0.0751
173,04/21/13 20时24分10秒,0.102,0.1042,0.1143,1.2423,0.0751
174,04/21/13 20时34分10秒,0.102,0.1042,0.1143,1.2002,0.0751
175,04/21/13 20时44分10秒,0.102,0.1042,0.1143,1.1304,0.0751
176,04/21/13 20时54分10秒,0.102,0.1042,0.115,1.1174,0.0758
177,04/21/13 21时04分10秒,0.102,0.1049,0.115,1.1675,0.0751
178,04/21/13 21时14分10秒,0.102,0.1042,0.115,1.2336,0.0751
179,04/21/13 21时24分10秒,0.102,0.1049,0.1143,1.2285,0.0758
180,04/21/13 21时34分10秒,0.102,0.1042,0.1143,1.222,0.0751
181,04/21/13 21时44分10秒,0.102,0.1042,0.1143,1.2314,0.0751
182,04/21/13 21时54分10秒,0.102,0.1042,0.115,1.2176,0.0751
183,04/21/13 22时04分10秒,0.102,0.1042,0.115,1.2045,0.0758
184,04/21/13 22时14分10秒,0.102,0.1042,0.115,1.2939,0.0751
185,04/21/13 22时24分10秒,0.102,0.1049,0.1143,1.2125,0.0758
186,04/21/13 22时34分10秒,0.102,0.1049,0.1143,1.2437,0.0751
187,04/21/13 22时44分10秒,0.102,0.1049,0.115,1.2263,0.0751
188,04/21/13 22时54分10秒,0.102,0.1049,0.115,1.2372,0.0758
