Plot Title: 20#,,,,,,
#,"Date Time, GMT+08:00","Water Content, m?/m? (LBL: W20)","Water Content, m?/m? (LBL: W40)","Water Content, m?/m? (LBL: W60)","Water Content, m?/m? (LBL: W80)","Water Content, m?/m? (LBL: W100)"
1,04/23/14 下午01时00分02秒,0.1797,0.1586,0.1528,0.1354,0.1056
2,04/23/14 下午01时30分02秒,0.179,0.1586,0.1528,0.1347,0.1056
3,04/23/14 下午02时00分02秒,0.179,0.1586,0.1528,0.1347,0.1056
4,04/23/14 下午02时30分02秒,0.179,0.1586,0.1528,0.1347,0.1056
5,04/23/14 下午03时00分02秒,0.1797,0.1586,0.1528,0.1347,0.1056
6,04/23/14 下午03时30分02秒,0.1797,0.1586,0.1528,0.1347,0.1056
7,04/23/14 下午04时00分02秒,0.1797,0.1586,0.1528,0.1347,0.1056
8,04/23/14 下午04时30分02秒,0.1797,0.1586,0.1528,0.1347,0.1056
9,04/23/14 下午05时00分02秒,0.1797,0.1586,0.1535,0.1347,0.1056
10,04/23/14 下午05时30分02秒,0.1797,0.1594,0.1535,0.1347,0.1056
11,04/23/14 下午06时00分02秒,0.1797,0.1586,0.1528,0.1354,0.1056
12,04/23/14 下午06时30分02秒,0.1797,0.1594,0.1528,0.1354,0.1063
13,04/23/14 下午07时00分02秒,0.1797,0.1594,0.1528,0.1354,0.1056
14,04/23/14 下午07时30分02秒,0.1797,0.1586,0.1535,0.1354,0.1063
15,04/23/14 下午08时00分02秒,0.1797,0.1594,0.1535,0.1354,0.1063
16,04/23/14 下午08时30分02秒,0.1797,0.1594,0.1535,0.1354,0.1063
17,04/23/14 下午09时00分02秒,0.1797,0.1586,0.1535,0.1354,0.1063
18,04/23/14 下午09时30分02秒,0.1797,0.1586,0.1535,0.1354,0.1056
19,04/23/14 下午10时00分02秒,0.1804,0.1594,0.1535,0.1354,0.1063
20,04/23/14 下午10时30分02秒,0.1797,0.1594,0.1535,0.1354,0.1056
21,04/23/14 下午11时00分02秒,0.1797,0.1594,0.1535,0.1354,0.1056
22,04/23/14 下午11时30分02秒,0.1797,0.1586,0.1535,0.1347,0.1063
23,04/24/14 上午12时00分02秒,0.1797,0.1586,0.1535,0.1347,0.1063
24,04/24/14 上午12时30分02秒,0.1797,0.1594,0.1535,0.1347,0.1063
25,04/24/14 上午01时00分02秒,0.1797,0.1594,0.1535,0.1347,0.1063
26,04/24/14 上午01时30分02秒,0.1797,0.1586,0.1535,0.1347,0.1063
27,04/24/14 上午02时00分02秒,0.1804,0.1586,0.1535,0.1347,0.1063
28,04/24/14 上午02时30分02秒,0.1804,0.1594,0.1535,0.1347,0.1063
29,04/24/14 上午03时00分02秒,0.1797,0.1594,0.1535,0.1339,0.1063
30,04/24/14 上午03时30分02秒,0.1804,0.1586,0.1535,0.1347,0.1063
31,04/24/14 上午04时00分02秒,0.1804,0.1594,0.1535,0.1347,0.1063
32,04/24/14 上午04时30分02秒,0.1804,0.1594,0.1535,0.1339,0.1063
33,04/24/14 上午05时00分02秒,0.1804,0.1586,0.1535,0.1339,0.1063
34,04/24/14 上午05时30分02秒,0.1804,0.1594,0.1543,0.1339,0.1063
35,04/24/14 上午06时00分02秒,0.1804,0.1594,0.1543,0.1339,0.1071
36,04/24/14 上午06时30分02秒,0.1804,0.1594,0.1543,0.1339,0.1063
37,04/24/14 上午07时00分02秒,0.1804,0.1594,0.1535,0.1339,0.1063
38,04/24/14 上午07时30分02秒,0.1811,0.1594,0.1543,0.1339,0.1063
39,04/24/14 上午08时00分02秒,0.1804,0.1594,0.1543,0.1339,0.1063
40,04/24/14 上午08时30分02秒,0.1804,0.1594,0.1543,0.1339,0.1063
41,04/24/14 上午09时00分02秒,0.1804,0.1594,0.1543,0.1339,0.1063
42,04/24/14 上午09时30分02秒,0.1804,0.1594,0.1543,0.1339,0.1063
43,04/24/14 上午10时00分02秒,0.1804,0.1594,0.1543,0.1332,0.1063
44,04/24/14 上午10时30分02秒,0.1804,0.1594,0.1543,0.1332,0.1063
45,04/24/14 上午11时00分02秒,0.1811,0.1594,0.1543,0.1332,0.1063
46,04/24/14 上午11时30分02秒,0.1811,0.1594,0.1543,0.1332,0.1063
47,04/24/14 下午12时00分02秒,0.1811,0.1594,0.1543,0.1332,0.1063
48,04/24/14 下午12时30分02秒,0.1811,0.1594,0.1543,0.1332,0.1056
49,04/24/14 下午01时00分02秒,0.1811,0.1594,0.1543,0.1325,0.1056
50,04/24/14 下午01时30分02秒,0.1811,0.1594,0.155,0.1325,0.1063
51,04/24/14 下午02时00分02秒,0.1811,0.1594,0.1543,0.1325,0.1056
52,04/24/14 下午02时30分02秒,0.1811,0.1594,0.1543,0.1325,0.1056
53,04/24/14 下午03时00分02秒,0.1811,0.1594,0.155,0.1325,0.1056
54,04/24/14 下午03时30分02秒,0.1811,0.1594,0.1543,0.1318,0.1056
55,04/24/14 下午04时00分02秒,0.1811,0.1594,0.1543,0.1325,0.1056
56,04/24/14 下午04时30分02秒,0.1811,0.1594,0.155,0.1318,0.1056
57,04/24/14 下午05时00分02秒,0.1804,0.1594,0.1543,0.1325,0.1056
58,04/24/14 下午05时30分02秒,0.1811,0.1594,0.1543,0.1325,0.1056
59,04/24/14 下午06时00分02秒,0.1811,0.1594,0.1543,0.1318,0.1063
60,04/24/14 下午06时30分02秒,0.1811,0.1601,0.1543,0.1318,0.1063
61,04/24/14 下午07时00分02秒,0.1811,0.1601,0.1543,0.1318,0.1056
62,04/24/14 下午07时30分02秒,0.1804,0.1601,0.1543,0.1318,0.1056
63,04/24/14 下午08时00分02秒,0.1811,0.1601,0.1543,0.131,0.1056
64,04/24/14 下午08时30分02秒,0.1811,0.1601,0.1543,0.131,0.1056
65,04/24/14 下午09时00分02秒,0.1811,0.1601,0.155,0.131,0.1056
66,04/24/14 下午09时30分02秒,0.1811,0.1601,0.155,0.131,0.1056
67,04/24/14 下午10时00分02秒,0.1811,0.1601,0.155,0.131,0.1056
68,04/24/14 下午10时30分02秒,0.1811,0.1601,0.155,0.131,0.1056
69,04/24/14 下午11时00分02秒,0.1811,0.1601,0.155,0.131,0.1056
70,04/24/14 下午11时30分02秒,0.1811,0.1601,0.155,0.131,0.1056
71,04/25/14 上午12时00分02秒,0.1811,0.1601,0.1543,0.131,0.1056
72,04/25/14 上午12时30分02秒,0.1811,0.1601,0.1543,0.131,0.1056
73,04/25/14 上午01时00分02秒,0.1811,0.1601,0.155,0.131,0.1056
74,04/25/14 上午01时30分02秒,0.1811,0.1601,0.155,0.131,0.1049
75,04/25/14 上午02时00分02秒,0.1811,0.1601,0.1543,0.131,0.1056
76,04/25/14 上午02时30分02秒,0.1811,0.1601,0.155,0.131,0.1049
77,04/25/14 上午03时00分02秒,0.1811,0.1601,0.155,0.131,0.1056
78,04/25/14 上午03时30分02秒,0.1811,0.1601,0.155,0.131,0.1049
79,04/25/14 上午04时00分02秒,0.1804,0.1601,0.155,0.131,0.1049
80,04/25/14 上午04时30分02秒,0.1804,0.1601,0.155,0.131,0.1049
81,04/25/14 上午05时00分02秒,0.1811,0.1601,0.155,0.131,0.1049
82,04/25/14 上午05时30分02秒,0.1804,0.1601,0.155,0.131,0.1049
83,04/25/14 上午06时00分02秒,0.1811,0.1601,0.155,0.131,0.1049
84,04/25/14 上午06时30分02秒,0.1811,0.1601,0.155,0.131,0.1049
85,04/25/14 上午07时00分02秒,0.1811,0.1601,0.155,0.131,0.1049
86,04/25/14 上午07时30分02秒,0.1811,0.1601,0.155,0.131,0.1049
87,04/25/14 上午08时00分02秒,0.1811,0.1608,0.155,0.1303,0.1049
88,04/25/14 上午08时30分02秒,0.1811,0.1608,0.155,0.131,0.1042
89,04/25/14 上午09时00分02秒,0.1804,0.1608,0.155,0.131,0.1049
90,04/25/14 上午09时30分02秒,0.1804,0.1608,0.155,0.131,0.1049
91,04/25/14 上午10时00分02秒,0.1804,0.1608,0.155,0.131,0.1049
92,04/25/14 上午10时30分02秒,0.1811,0.1608,0.1557,0.131,0.1049
93,04/25/14 上午11时00分02秒,0.1804,0.1601,0.1557,0.131,0.1042
94,04/25/14 上午11时30分02秒,0.1804,0.1601,0.1564,0.131,0.1042
95,04/25/14 下午12时00分02秒,0.1811,0.1608,0.1557,0.131,0.1042
96,04/25/14 下午12时30分02秒,0.1804,0.1608,0.1557,0.1318,0.1042
