Plot Title: 16#,,,,,,
#,"Date Time, GMT+08:00","Water Content, m?/m? (LBL: W20)","Water Content, m?/m? (LBL: W40)","Water Content, m?/m? (LBL: W60)","Water Content, m?/m? (LBL: W80)","Water Content, m?/m? (LBL: W100)"
1,04/13/16 下午07时00分02秒,0.0642,0.0388,0.0315,0.049,0.0286
2,04/13/16 下午07时30分02秒,0.0628,0.0388,0.0315,0.049,0.0279
3,04/13/16 下午08时00分02秒,0.0628,0.0388,0.0315,0.049,0.0279
4,04/13/16 下午08时30分02秒,0.062,0.0395,0.0308,0.049,0.0286
5,04/13/16 下午09时00分02秒,0.062,0.0388,0.0308,0.049,0.0286
6,04/13/16 下午09时30分02秒,0.062,0.0388,0.0315,0.049,0.0279
7,04/13/16 下午10时00分02秒,0.0613,0.0388,0.0308,0.0482,0.0272
8,04/13/16 下午10时30分02秒,0.0613,0.0395,0.0308,0.049,0.0279
9,04/13/16 下午11时00分02秒,0.0613,0.0395,0.0308,0.0482,0.0279
10,04/13/16 下午11时30分02秒,0.0613,0.0395,0.0315,0.049,0.0279
11,04/14/16 上午12时00分02秒,0.0606,0.0395,0.0308,0.049,0.0279
12,04/14/16 上午12时30分02秒,0.0606,0.0395,0.0308,0.049,0.0279
13,04/14/16 上午01时00分02秒,0.0598,0.0395,0.0308,0.0482,0.0279
14,04/14/16 上午01时30分02秒,0.0598,0.0395,0.0315,0.049,0.0279
15,04/14/16 上午02时00分02秒,0.0598,0.0395,0.0315,0.049,0.0279
16,04/14/16 上午02时30分02秒,0.0591,0.0395,0.0315,0.0482,0.0279
17,04/14/16 上午03时00分02秒,0.0591,0.0395,0.0308,0.049,0.0279
18,04/14/16 上午03时30分02秒,0.0591,0.0395,0.0315,0.049,0.0279
19,04/14/16 上午04时00分02秒,0.0584,0.0395,0.0308,0.0482,0.0279
20,04/14/16 上午04时30分02秒,0.0584,0.0395,0.0315,0.049,0.0272
21,04/14/16 上午05时00分02秒,0.0584,0.0388,0.0315,0.0482,0.0279
22,04/14/16 上午05时30分02秒,0.0584,0.0395,0.0315,0.0482,0.0279
23,04/14/16 上午06时00分02秒,0.0584,0.0395,0.0315,0.0482,0.0279
24,04/14/16 上午06时30分02秒,0.0584,0.0395,0.0315,0.049,0.0279
25,04/14/16 上午07时00分02秒,0.0577,0.0395,0.0315,0.049,0.0279
26,04/14/16 上午07时30分02秒,0.0577,0.0395,0.0315,0.0482,0.0279
27,04/14/16 上午08时00分02秒,0.0577,0.0395,0.0315,0.049,0.0279
28,04/14/16 上午08时30分02秒,0.0577,0.0395,0.0315,0.0482,0.0279
29,04/14/16 上午09时00分02秒,0.0569,0.0395,0.0315,0.0482,0.0279
30,04/14/16 上午09时30分02秒,0.0569,0.0395,0.0322,0.049,0.0279
31,04/14/16 上午10时00分02秒,0.0569,0.0388,0.0315,0.049,0.0279
32,04/14/16 上午10时30分02秒,0.0577,0.0388,0.0315,0.0482,0.0279
33,04/14/16 上午11时00分02秒,0.0577,0.0388,0.0315,0.0482,0.0279
34,04/14/16 上午11时30分02秒,0.0577,0.0388,0.0315,0.049,0.0279
35,04/14/16 下午12时00分02秒,0.0584,0.0388,0.0315,0.0482,0.0272
36,04/14/16 下午12时30分02秒,0.0591,0.0395,0.0315,0.0482,0.0279
37,04/14/16 下午01时00分02秒,0.0598,0.0388,0.0308,0.0482,0.0286
38,04/14/16 下午01时30分02秒,0.0606,0.0388,0.0315,0.0482,0.0279
39,04/14/16 下午02时00分02秒,0.062,0.0388,0.0308,0.049,0.0279
40,04/14/16 下午02时30分02秒,0.0635,0.0388,0.0308,0.0482,0.0279
41,04/14/16 下午03时00分02秒,0.0649,0.0388,0.0315,0.0482,0.0279
42,04/14/16 下午03时30分02秒,0.0657,0.0395,0.0308,0.0482,0.0279
43,04/14/16 下午04时00分02秒,0.0664,0.0388,0.0308,0.049,0.0279
44,04/14/16 下午04时30分02秒,0.0671,0.0388,0.0315,0.0482,0.0272
45,04/14/16 下午05时00分02秒,0.0671,0.0388,0.0315,0.049,0.0279
46,04/14/16 下午05时30分02秒,0.0671,0.0388,0.0315,0.0482,0.0279
47,04/14/16 下午06时00分02秒,0.0671,0.0395,0.0315,0.049,0.0286
48,04/14/16 下午06时30分02秒,0.0671,0.0395,0.0315,0.0482,0.0279
49,04/14/16 下午07时00分02秒,0.0664,0.0395,0.0315,0.0482,0.0279
50,04/14/16 下午07时30分02秒,0.0664,0.0402,0.0315,0.0482,0.0279
51,04/14/16 下午08时00分02秒,0.0664,0.0402,0.0315,0.0482,0.0279
52,04/14/16 下午08时30分02秒,0.0657,0.0402,0.0315,0.049,0.0279
53,04/14/16 下午09时00分02秒,0.0649,0.0402,0.0315,0.049,0.0279
54,04/14/16 下午09时30分02秒,0.0649,0.0402,0.0315,0.049,0.0272
55,04/14/16 下午10时00分02秒,0.0642,0.0395,0.0315,0.0482,0.0272
56,04/14/16 下午10时30分02秒,0.0642,0.0402,0.0315,0.049,0.0272
57,04/14/16 下午11时00分02秒,0.0635,0.0402,0.0322,0.0482,0.0272
58,04/14/16 下午11时30分02秒,0.0635,0.0402,0.0322,0.049,0.0272
59,04/15/16 上午12时00分02秒,0.0628,0.0402,0.0322,0.0482,0.0272
60,04/15/16 上午12时30分02秒,0.062,0.0402,0.0322,0.049,0.0272
