ID,Year,DateTime,雨量(mm),历时(min),雨强(mm/h)
1,2014,2014/6/18 18:40,0,0,0
2,2014,2014/6/18 18:46,4.3,6,43.4
3,2014,2014/6/18 18:49,2.6,3,51.6
4,2014,2014/6/18 18:53,1.9,4,28.4
5,2014,2014/6/18 18:57,2.2,4,32.4
6,2014,2014/6/18 19:02,7.1,5,85.3
7,2014,2014/6/18 19:23,3.4,21,9.7
8,2014,2014/6/18 19:53,2.8,30,5.6
9,2014,2014/6/18 20:24,2.5,31,4.8
10,2014,2014/6/18 20:53,0.2,29,0.8
11,2014,2014/6/18 22:00,0.1,67,0.2
12,2014,2014/8/21 3:30,0,0,0
13,2014,2014/8/21 4:24,0.4,54,0.4
14,2014,2014/8/21 5:29,0.5,65,0.5
15,2014,2014/8/21 7:02,0.9,93,0.6
16,2014,2014/8/21 8:56,1.8,114,1
17,2014,2014/8/21 10:00,1.6,64,1.5
18,2014,2014/8/21 11:08,1.7,68,1.5
19,2014,2014/8/21 12:32,2.6,84,1.9
20,2014,2014/8/21 14:58,0.8,146,0.3
21,2014,2014/8/21 15:38,2.9,40,4.4
22,2014,2014/8/21 17:00,2.9,112,1.6
23,2014,2014/8/23 13:30,0,0,0
24,2014,2014/8/23 13:34,1.2,4,17.9
25,2014,2014/8/23 13:50,0.3,16,1
26,2014,2014/8/23 16:05,0.3,135,0.1
27,2014,2014/8/23 16:08,7.3,3,146.2
28,2014,2014/8/23 16:25,1.6,17,5.7
29,2014,2014/8/23 16:28,1.8,3,36.8
30,2014,2014/8/23 18:20,0.5,112,0.3
31,2014,2014/8/25 21:01,0,0,0
32,2014,2014/8/25 21:14,5.4,13,24.7
33,2014,2014/8/25 21:29,1.9,15,7.8
34,2014,2014/8/25 21:46,2,17,7
35,2014,2014/8/25 21:52,1.5,6,15.2
36,2014,2014/8/25 22:17,0.8,25,2
37,2014,2014/8/26 0:00,1,134,0.4
38,2014,2014/9/11 5:20,0,0,0
39,2014,2014/9/11 5:51,0.2,31,0.4
40,2014,2014/9/11 5:28,0.6,7,5.2
41,2014,2014/9/11 6:09,0.2,11,1
42,2014,2014/9/11 6:22,1.1,13,5.3
43,2014,2014/9/11 6:35,0.7,13,3
44,2014,2014/9/11 6:49,3.3,14,13.9
45,2014,2014/9/11 7:04,0.9,15,3.6
46,2014,2014/9/11 7:25,1.6,21,4.4
47,2014,2014/9/11 7:32,1.8,7,15.8
