"Plot Title: qixiangyuan"
"#","Date Time, GMT+08:00","Temp, °F","rain, mm","Coupler Attached","Host Connected","End Of File"
1,04/18/16 下午04时00分00秒,71.856,0.0,,,
2,04/18/16 下午04时30分00秒,71.339,,,,
3,04/18/16 下午05时00分00秒,72.028,,,,
4,04/18/16 下午05时30分00秒,70.308,,,,
5,04/18/16 下午06时00分00秒,67.221,,,,
6,04/18/16 下午06时30分00秒,65.680,,,,
7,04/18/16 下午07时00分00秒,62.254,,,,
8,04/18/16 下午07时30分00秒,60.024,,,,
9,04/18/16 下午08时00分00秒,58.303,,,,
10,04/18/16 下午08时30分00秒,56.577,,,,
11,04/18/16 下午09时00分00秒,55.364,,,,
12,04/18/16 下午09时30分00秒,54.147,,,,
13,04/18/16 下午10时00分00秒,53.100,,,,
14,04/18/16 下午10时30分00秒,52.050,,,,
15,04/18/16 下午11时00分00秒,51.172,,,,
16,04/18/16 下午11时30分00秒,50.113,,,,
17,04/19/16 上午12时00分00秒,49.228,,,,
18,04/19/16 上午12时30分00秒,48.160,,,,
19,04/19/16 上午01时00分00秒,47.088,,,,
20,04/19/16 上午01时30分00秒,46.008,,,,
21,04/19/16 上午02时00分00秒,45.466,,,,
22,04/19/16 上午02时30分00秒,44.742,,,,
23,04/19/16 上午03时00分00秒,44.013,,,,
24,04/19/16 上午03时30分00秒,43.648,,,,
25,04/19/16 上午04时00分00秒,42.915,,,,
26,04/19/16 上午04时30分00秒,42.179,,,,
27,04/19/16 上午05时00分00秒,41.625,,,,
28,04/19/16 上午05时30分00秒,41.994,,,,
29,04/19/16 上午06时00分00秒,41.625,,,,
30,04/19/16 上午06时30分00秒,40.134,,,,
31,04/19/16 上午07时00分00秒,39.760,,,,
32,04/19/16 上午07时30分00秒,41.254,,,,
33,04/19/16 上午08时00分00秒,43.466,,,,
34,04/19/16 上午08时30分00秒,46.188,,,,
35,04/19/16 上午09时00分00秒,48.160,,,,
36,04/19/16 上午09时30分00秒,49.582,,,,
37,04/19/16 上午10时00分00秒,53.100,,,,
38,04/19/16 上午10时30分00秒,55.017,,,,
39,04/19/16 上午11时00分00秒,57.958,,,,
40,04/19/16 上午11时30分00秒,62.769,,,,
