"Plot Title: qixiangyuan"
"#","Date Time, GMT+08:00","Temp, °F","rain, mm","Cum. Sum: rain, mm","Coupler Detached","Coupler Attached","Host Connected","End Of File"
1,09/03/16 上午11时30分00秒,,,0.0,,,,
2,09/03/16 上午11时30分14秒,61.054,0.0,,,,,
3,09/03/16 上午11时31分00秒,,,0.0,,,,
4,09/03/16 上午11时31分01秒,,,,Logged,,,
5,09/03/16 上午11时32分00秒,,,0.0,,,,
6,09/03/16 上午11时33分00秒,,,0.0,,,,
7,09/03/16 上午11时34分00秒,,,0.0,,,,
8,09/03/16 上午11时35分00秒,,,0.0,,,,
9,09/03/16 上午11时36分00秒,,,0.0,,,,
10,09/03/16 上午11时37分00秒,,,0.0,,,,
11,09/03/16 上午11时38分00秒,,,0.0,,,,
12,09/03/16 上午11时39分00秒,,,0.0,,,,
13,09/03/16 上午11时40分00秒,,,0.0,,,,
14,09/03/16 上午11时41分00秒,,,0.0,,,,
15,09/03/16 上午11时42分00秒,,,0.0,,,,
16,09/03/16 上午11时43分00秒,,,0.0,,,,
17,09/03/16 上午11时44分00秒,,,0.0,,,,
18,09/03/16 上午11时45分00秒,,,0.0,,,,
19,09/03/16 上午11时46分00秒,,,0.0,,,,
20,09/03/16 上午11时47分00秒,,,0.0,,,,
21,09/03/16 上午11时48分00秒,,,0.0,,,,
22,09/03/16 上午11时49分00秒,,,0.0,,,,
23,09/03/16 上午11时50分00秒,,,0.0,,,,
24,09/03/16 上午11时51分00秒,,,0.0,,,,
25,09/03/16 上午11时52分00秒,,,0.0,,,,
26,09/03/16 上午11时53分00秒,,,0.0,,,,
27,09/03/16 上午11时54分00秒,,,0.0,,,,
28,09/03/16 上午11时55分00秒,,,0.0,,,,
29,09/03/16 上午11时56分00秒,,,0.0,,,,
30,09/03/16 上午11时57分00秒,,,0.0,,,,
31,09/03/16 上午11时58分00秒,,,0.0,,,,
32,09/03/16 上午11时59分00秒,,,0.0,,,,
33,09/03/16 下午12时00分00秒,,,0.0,,,,
34,09/03/16 下午12时00分14秒,58.647,,,,,,
35,09/03/16 下午12时01分00秒,,,0.0,,,,
36,09/03/16 下午12时02分00秒,,,0.0,,,,
37,09/03/16 下午12时03分00秒,,,0.0,,,,
38,09/03/16 下午12时04分00秒,,,0.0,,,,
39,09/03/16 下午12时05分00秒,,,0.0,,,,
40,09/03/16 下午12时06分00秒,,,0.0,,,,
41,09/03/16 下午12时07分00秒,,,0.0,,,,
42,09/03/16 下午12时08分00秒,,,0.0,,,,
43,09/03/16 下午12时09分00秒,,,0.0,,,,
44,09/03/16 下午12时10分00秒,,,0.0,,,,
45,09/03/16 下午12时11分00秒,,,0.0,,,,
46,09/03/16 下午12时12分00秒,,,0.0,,,,
47,09/03/16 下午12时13分00秒,,,0.0,,,,
48,09/03/16 下午12时14分00秒,,,0.0,,,,
49,09/03/16 下午12时15分00秒,,,0.0,,,,
50,09/03/16 下午12时16分00秒,,,0.0,,,,
51,09/03/16 下午12时17分00秒,,,0.0,,,,
52,09/03/16 下午12时18分00秒,,,0.0,,,,
53,09/03/16 下午12时19分00秒,,,0.0,,,,
54,09/03/16 下午12时20分00秒,,,0.0,,,,
